symbol,source_symbol,security,index,sector,industry,subindustry,snapshot_date
BMY,BMY,Bristol Myers Squibb,S&P 500,Health Care,Pharmaceuticals,Pharmaceuticals,2026-07-15
BNL,BNL,"Broadstone Net Lease, Inc.",S&P SmallCap 600,Real Estate,Industrial REITs,Industrial REITs,2026-07-15
BNY,BNY,BNY Mellon,S&P 500,Financials,Capital Markets,Asset Management & Custody Banks,2026-07-15
BOH,BOH,Bank of Hawaii,S&P SmallCap 600,Financials,Banks,Regional Banks,2026-07-15
BOOT,BOOT,"Boot Barn Holdings, Inc.",S&P SmallCap 600,Consumer Discretionary,Specialty Retail,Apparel Retail,2026-07-15
BOX,BOX,"Box, Inc.",S&P SmallCap 600,Information Technology,Software,Application Software,2026-07-15
BR,BR,Broadridge Financial Solutions,S&P 500,Industrials,Professional Services,Data Processing & Outsourced Services,2026-07-15
BRC,BRC,Brady Corporation,S&P SmallCap 600,Industrials,Commercial Services & Supplies,Commercial Printing,2026-07-15
BRK-B,BRK.B,Berkshire Hathaway,S&P 500,Financials,Financial Services,Multi-Sector Holdings,2026-07-15
BRKR,BRKR,Bruker,S&P MidCap 400,Health Care,Health Care Equipment & Supplies,Health Care Equipment,2026-07-15
BRO,BRO,Brown & Brown,S&P 500,Financials,Insurance,Insurance Brokers,2026-07-15
BROS,BROS,Dutch Bros Inc.,S&P MidCap 400,Consumer Discretionary,"Hotels, Restaurants & Leisure",Restaurants,2026-07-15
BRX,BRX,Brixmor Property Group,S&P MidCap 400,Real Estate,Retail REITs,Retail REITs,2026-07-15
BSX,BSX,Boston Scientific,S&P 500,Health Care,Health Care Equipment & Supplies,Health Care Equipment,2026-07-15
BSY,BSY,Bentley Systems,S&P MidCap 400,Information Technology,Software,Application Software,2026-07-15
BTSG,BTSG,"BrightSpring Health Services, Inc.",S&P SmallCap 600,Health Care,Health Care Providers & Services,Health Care Services,2026-07-15
BTU,BTU,"Peabody Energy, Inc.",S&P SmallCap 600,Energy,"Oil, Gas & Consumable Fuels",Coal & Consumable Fuels,2026-07-15
BURL,BURL,Burlington Stores,S&P MidCap 400,Consumer Discretionary,Specialty Retail,Apparel Retail,2026-07-15
BWA,BWA,BorgWarner,S&P MidCap 400,Consumer Discretionary,Automobile Components,Automotive Parts & Equipment,2026-07-15
BWXT,BWXT,BWX Technologies,S&P MidCap 400,Industrials,Aerospace & Defense,Aerospace & Defense,2026-07-15
BX,BX,Blackstone Inc.,S&P 500,Financials,Capital Markets,Asset Management & Custody Banks,2026-07-15
BXMT,BXMT,"Blackstone Mortgage Trust, Inc.",S&P SmallCap 600,Financials,Mortgage Real Estate Investment Trusts (REITs),Mortgage REITs,2026-07-15
BXP,BXP,"BXP, Inc.",S&P 500,Real Estate,Office REITs,Office REITs,2026-07-15
BYD,BYD,Boyd Gaming,S&P MidCap 400,Consumer Discretionary,"Hotels, Restaurants & Leisure",Casinos & Gaming,2026-07-15
C,C,Citigroup,S&P 500,Financials,Banks,Diversified Banks,2026-07-15
CACC,CACC,Credit Acceptance,S&P SmallCap 600,Financials,Financial Services,Specialized Finance,2026-07-15
CACI,CACI,CACI International,S&P MidCap 400,Industrials,Commercial Services & Supplies,Diversified Support Services,2026-07-15
CAG,CAG,Conagra Brands,S&P SmallCap 600,Consumer Staples,Food Products,Packaged Foods & Meats,2026-07-15
CAH,CAH,Cardinal Health,S&P 500,Health Care,Health Care Providers & Services,Health Care Distributors,2026-07-15
CAKE,CAKE,"The Cheesecake Factory, Inc.",S&P SmallCap 600,Consumer Discretionary,"Hotels, Restaurants & Leisure",Restaurants,2026-07-15
CALM,CALM,"Cal-Maine Foods, Inc.",S&P SmallCap 600,Consumer Staples,Food Products,Packaged Foods & Meats,2026-07-15
CALX,CALX,Calix,S&P SmallCap 600,Information Technology,Software,Application Software,2026-07-15
CALY,CALY,Callaway Golf Company,S&P SmallCap 600,Consumer Discretionary,Leisure Products,Leisure Products,2026-07-15
CAR,CAR,Avis Budget Group,S&P MidCap 400,Industrials,Ground Transportation,Passenger Ground Transportation,2026-07-15
CARG,CARG,CarGurus,S&P SmallCap 600,Communication Services,Interactive Media & Services,Interactive Media & Services,2026-07-15
CARR,CARR,Carrier Global,S&P 500,Industrials,Building Products,Building Products,2026-07-15
CART,CART,Maplebear Inc.,S&P MidCap 400,Consumer Staples,Consumer Staples Distribution & Retail,Food Retail,2026-07-15
CASH,CASH,"Pathward Financial, Inc.",S&P SmallCap 600,Financials,Banks,Regional Banks,2026-07-15
CASY,CASY,Casey's,S&P 500,Consumer Staples,Consumer Staples Distribution & Retail,Food Retail,2026-07-15
CAT,CAT,Caterpillar Inc.,S&P 500,Industrials,Machinery,Construction Machinery & Heavy Transportation Equipment,2026-07-15
CATY,CATY,Cathay General Bancorp,S&P SmallCap 600,Financials,Banks,Regional Banks,2026-07-15
CAVA,CAVA,Cava Group,S&P MidCap 400,Consumer Discretionary,"Hotels, Restaurants & Leisure",Restaurants,2026-07-15
CB,CB,Chubb Limited,S&P 500,Financials,Insurance,Property & Casualty Insurance,2026-07-15
CBOE,CBOE,Cboe Global Markets,S&P 500,Financials,Capital Markets,Financial Exchanges & Data,2026-07-15
CBRE,CBRE,CBRE Group,S&P 500,Real Estate,Real Estate Management & Development,Real Estate Services,2026-07-15
CBRL,CBRL,Cracker Barrel,S&P SmallCap 600,Consumer Discretionary,"Hotels, Restaurants & Leisure",Restaurants,2026-07-15
CBSH,CBSH,Commerce Bancshares,S&P MidCap 400,Financials,Banks,Regional Banks,2026-07-15
CBT,CBT,Cabot Corp,S&P MidCap 400,Materials,Chemicals,Diversified Chemicals,2026-07-15
CBU,CBU,"Community Bank System, Inc.",S&P SmallCap 600,Financials,Banks,Regional Banks,2026-07-15
CC,CC,Chemours,S&P SmallCap 600,Materials,Chemicals,Diversified Chemicals,2026-07-15
CCI,CCI,Crown Castle,S&P 500,Real Estate,Specialized REITs,Telecom Tower REITs,2026-07-15
CCK,CCK,Crown Holdings,S&P MidCap 400,Materials,Containers & Packaging,Paper & Plastic Packaging Products & Materials,2026-07-15
CCL,CCL,Carnival Corporation,S&P 500,Consumer Discretionary,"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines",2026-07-15
CCOI,CCOI,"Cogent Communications Holdings, Inc.",S&P SmallCap 600,Communication Services,Diversified Telecommunication Services,Alternative Carriers,2026-07-15
CCS,CCS,"Century Communities, Inc.",S&P SmallCap 600,Consumer Discretionary,Household Durables,Homebuilding,2026-07-15
CDE,CDE,Coeur Mining,S&P MidCap 400,Materials,Metals & Mining,Gold,2026-07-15
CDNS,CDNS,Cadence Design Systems,S&P 500,Information Technology,Software,Application Software,2026-07-15
CDP,CDP,COPT Defense Properties,S&P MidCap 400,Real Estate,Office REITs,Office REITs,2026-07-15
CDW,CDW,CDW Corporation,S&P 500,Information Technology,"Electronic Equipment, Instruments & Components",Technology Distributors,2026-07-15
CE,CE,Celanese,S&P SmallCap 600,Materials,Chemicals,Specialty Chemicals,2026-07-15
CEG,CEG,Constellation Energy,S&P 500,Utilities,Electric Utilities,Electric Utilities,2026-07-15
CELH,CELH,Celsius Holdings,S&P MidCap 400,Consumer Staples,Beverages,Soft Drinks & Non-alcoholic Beverages,2026-07-15
CENT,CENT,Central Garden & Pet Company,S&P SmallCap 600,Consumer Staples,Household Products,Household Products,2026-07-15
CENTA,CENTA,Central Garden & Pet Company (Class A),S&P SmallCap 600,Consumer Staples,Household Products,Household Products,2026-07-15
CENX,CENX,Century Aluminum Company,S&P SmallCap 600,Materials,Metals & Mining,Aluminum,2026-07-15
CERT,CERT,"Certara, Inc.",S&P SmallCap 600,Health Care,Health Care Technology,Health Care Technology,2026-07-15
CF,CF,CF Industries,S&P 500,Materials,Chemicals,Fertilizers & Agricultural Chemicals,2026-07-15
CFFN,CFFN,Capitol Federal Savings Bank,S&P SmallCap 600,Financials,Banks,Regional Banks,2026-07-15
CFG,CFG,Citizens Financial Group,S&P 500,Financials,Banks,Regional Banks,2026-07-15
CFR,CFR,Frost Bank,S&P MidCap 400,Financials,Banks,Regional Banks,2026-07-15
CG,CG,Carlyle Group (The),S&P MidCap 400,Financials,Capital Markets,Asset Management & Custody Banks,2026-07-15
CGNX,CGNX,Cognex,S&P MidCap 400,Information Technology,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments,2026-07-15
CHCO,CHCO,City Holding Company,S&P SmallCap 600,Financials,Banks,Regional Banks,2026-07-15
CHD,CHD,Church & Dwight,S&P 500,Consumer Staples,Household Products,Household Products,2026-07-15
CHDN,CHDN,Churchill Downs Inc.,S&P MidCap 400,Consumer Discretionary,"Hotels, Restaurants & Leisure",Casinos & Gaming,2026-07-15
CHE,CHE,Chemed Corp.,S&P MidCap 400,Health Care,Health Care Providers & Services,Health Care Services,2026-07-15
CHEF,CHEF,"Chefs' Warehouse, Inc.",S&P SmallCap 600,Consumer Staples,Consumer Staples Distribution & Retail,Food Distributors,2026-07-15
CHH,CHH,Choice Hotels,S&P MidCap 400,Consumer Discretionary,"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines",2026-07-15
CHRD,CHRD,Chord Energy,S&P MidCap 400,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Production,2026-07-15
CHRW,CHRW,C.H. Robinson,S&P 500,Industrials,Air Freight & Logistics,Air Freight & Logistics,2026-07-15
CHTR,CHTR,Charter Communications,S&P 500,Communication Services,Media,Cable & Satellite,2026-07-15
CHWY,CHWY,Chewy,S&P MidCap 400,Consumer Discretionary,Specialty Retail,Other Specialty Retail,2026-07-15
CI,CI,Cigna,S&P 500,Health Care,Health Care Providers & Services,Health Care Services,2026-07-15
CIEN,CIEN,Ciena,S&P 500,Information Technology,Communications Equipment,Communications Equipment,2026-07-15
CINF,CINF,Cincinnati Financial,S&P 500,Financials,Insurance,Property & Casualty Insurance,2026-07-15
CL,CL,Colgate-Palmolive,S&P 500,Consumer Staples,Household Products,Household Products,2026-07-15
CLF,CLF,Cleveland-Cliffs,S&P MidCap 400,Materials,Metals & Mining,Steel,2026-07-15
CLH,CLH,Clean Harbors,S&P MidCap 400,Industrials,Commercial Services & Supplies,Environmental & Facilities Services,2026-07-15
CLSK,CLSK,"CleanSpark, Inc.",S&P SmallCap 600,Information Technology,IT Services,Internet Services & Infrastructure,2026-07-15
CLX,CLX,Clorox,S&P 500,Consumer Staples,Household Products,Household Products,2026-07-15
CMC,CMC,Commercial Metals,S&P MidCap 400,Materials,Metals & Mining,Steel,2026-07-15
CMCSA,CMCSA,Comcast,S&P 500,Communication Services,Media,Cable & Satellite,2026-07-15
CME,CME,CME Group,S&P 500,Financials,Capital Markets,Financial Exchanges & Data,2026-07-15
CMG,CMG,Chipotle Mexican Grill,S&P 500,Consumer Discretionary,"Hotels, Restaurants & Leisure",Restaurants,2026-07-15
CMI,CMI,Cummins,S&P 500,Industrials,Machinery,Construction Machinery & Heavy Transportation Equipment,2026-07-15
CMS,CMS,CMS Energy,S&P 500,Utilities,Multi-Utilities,Multi-Utilities,2026-07-15
CNC,CNC,Centene Corporation,S&P 500,Health Care,Health Care Providers & Services,Managed Health Care,2026-07-15
CNH,CNH,CNH Industrial,S&P MidCap 400,Industrials,Machinery,Agricultural & Farm Machinery,2026-07-15
CNK,CNK,"Cinemark Holdings, Inc.",S&P SmallCap 600,Communication Services,Entertainment,Movies & Entertainment,2026-07-15
CNM,CNM,Core & Main,S&P MidCap 400,Industrials,Trading Companies & Distributors,Trading Companies & Distributors,2026-07-15
CNMD,CNMD,CONMED Corporation,S&P SmallCap 600,Health Care,Health Care Equipment & Supplies,Health Care Equipment,2026-07-15
CNO,CNO,CNO Financial Group,S&P MidCap 400,Financials,Insurance,Life & Health Insurance,2026-07-15
CNP,CNP,CenterPoint Energy,S&P 500,Utilities,Multi-Utilities,Multi-Utilities,2026-07-15
CNR,CNR,"Core Natural Resources, Inc.",S&P SmallCap 600,Energy,"Oil, Gas & Consumable Fuels",Coal & Consumable Fuels,2026-07-15
CNS,CNS,"Cohen & Steers, Inc.",S&P SmallCap 600,Financials,Capital Markets,Asset Management & Custody Banks,2026-07-15
CNX,CNX,CNX Resources,S&P MidCap 400,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Production,2026-07-15
CNXC,CNXC,Concentrix,S&P SmallCap 600,Industrials,Professional Services,Data Processing & Outsourced Services,2026-07-15
CNXN,CNXN,"PC Connection, Inc.",S&P SmallCap 600,Information Technology,"Electronic Equipment, Instruments & Components",Technology Distributors,2026-07-15
COCO,COCO,The Vita Coco Company,S&P SmallCap 600,Consumer Staples,Beverages,Soft Drinks & Non-alcoholic Beverages,2026-07-15
COF,COF,Capital One,S&P 500,Financials,Consumer Finance,Consumer Finance,2026-07-15
COHR,COHR,Coherent Corp.,S&P 500,Information Technology,"Electronic Equipment, Instruments & Components",Electronic Components,2026-07-15
COHU,COHU,"Cohu, Inc.",S&P SmallCap 600,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductor Materials & Equipment,2026-07-15
COIN,COIN,Coinbase,S&P 500,Financials,Capital Markets,Financial Exchanges & Data,2026-07-15
COKE,COKE,Coca-Cola Consolidated,S&P MidCap 400,Consumer Staples,Beverages,Soft Drinks & Non-alcoholic Beverages,2026-07-15
COLB,COLB,Columbia Banking System,S&P MidCap 400,Financials,Banks,Regional Banks,2026-07-15
COLL,COLL,"Collegium Pharmaceutical, Inc.",S&P SmallCap 600,Health Care,Pharmaceuticals,Pharmaceuticals,2026-07-15
COLM,COLM,Columbia Sportswear,S&P MidCap 400,Consumer Discretionary,"Textiles, Apparel & Luxury Goods","Apparel, Accessories & Luxury Goods",2026-07-15
CON,CON,"Concentra Group Holdings Parent, Inc.",S&P SmallCap 600,Health Care,Health Care Providers & Services,Health Care Services,2026-07-15
COO,COO,Cooper Companies (The),S&P 500,Health Care,Health Care Equipment & Supplies,Health Care Supplies,2026-07-15
COP,COP,ConocoPhillips,S&P 500,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Production,2026-07-15
COR,COR,Cencora,S&P 500,Health Care,Health Care Providers & Services,Health Care Distributors,2026-07-15
CORT,CORT,Corcept Therapeutics Incorporated,S&P SmallCap 600,Health Care,Pharmaceuticals,Pharmaceuticals,2026-07-15
COST,COST,Costco,S&P 500,Consumer Staples,Consumer Staples Distribution & Retail,Consumer Staples Merchandise Retail,2026-07-15
COTY,COTY,Coty,S&P SmallCap 600,Consumer Staples,Personal Care Products,Personal Care Products,2026-07-15
CPAY,CPAY,Corpay,S&P 500,Financials,Financial Services,Transaction & Payment Processing Services,2026-07-15
CPB,CPB,The Campbell's Company,S&P SmallCap 600,Consumer Staples,Food Products,Packaged Foods & Meats,2026-07-15
CPF,CPF,Central Pacific Financial Corp.,S&P SmallCap 600,Financials,Banks,Regional Banks,2026-07-15
CPK,CPK,Chesapeake Utilities Corp.,S&P SmallCap 600,Utilities,Gas Utilities,Gas Utilities,2026-07-15
CPRI,CPRI,Capri Holdings,S&P MidCap 400,Consumer Discretionary,"Textiles, Apparel & Luxury Goods","Apparel, Accessories & Luxury Goods",2026-07-15
