symbol,source_symbol,security,index,sector,industry,subindustry,snapshot_date
GHC,GHC,Graham Holdings,S&P MidCap 400,Consumer Discretionary,Diversified Consumer Services,Education Services,2026-07-15
GIII,GIII,"G-III Apparel Group, Ltd.",S&P SmallCap 600,Consumer Discretionary,"Textiles, Apparel & Luxury Goods","Apparel, Accessories & Luxury Goods",2026-07-15
GILD,GILD,Gilead Sciences,S&P 500,Health Care,Biotechnology,Biotechnology,2026-07-15
GIS,GIS,General Mills,S&P 500,Consumer Staples,Food Products,Packaged Foods & Meats,2026-07-15
GKOS,GKOS,Glaukos Corp.,S&P SmallCap 600,Health Care,Health Care Equipment & Supplies,Health Care Equipment,2026-07-15
GL,GL,Globe Life,S&P 500,Financials,Insurance,Life & Health Insurance,2026-07-15
GLPI,GLPI,Gaming and Leisure Properties,S&P MidCap 400,Real Estate,Specialized REITs,Other Specialized REITs,2026-07-15
GLW,GLW,Corning Inc.,S&P 500,Information Technology,"Electronic Equipment, Instruments & Components",Electronic Components,2026-07-15
GM,GM,General Motors,S&P 500,Consumer Discretionary,Automobiles,Automobile Manufacturers,2026-07-15
GME,GME,GameStop,S&P MidCap 400,Consumer Discretionary,Specialty Retail,Computer & Electronics Retail,2026-07-15
GMED,GMED,Globus Medical,S&P MidCap 400,Health Care,Health Care Equipment & Supplies,Health Care Equipment,2026-07-15
GNL,GNL,"Global Net Lease, Inc.",S&P SmallCap 600,Real Estate,Diversified REITs,Diversified REITs,2026-07-15
GNRC,GNRC,Generac,S&P 500,Industrials,Electrical Equipment,Heavy Electrical Equipment,2026-07-15
GNTX,GNTX,Gentex,S&P MidCap 400,Consumer Discretionary,Automobile Components,Automotive Parts & Equipment,2026-07-15
GNW,GNW,"Genworth Financial, Inc.",S&P SmallCap 600,Financials,Insurance,Multi-line Insurance,2026-07-15
GO,GO,Grocery Outlet,S&P SmallCap 600,Consumer Staples,Consumer Staples Distribution & Retail,Food Retail,2026-07-15
GOLF,GOLF,Acushnet Company,S&P SmallCap 600,Consumer Discretionary,Leisure Products,Leisure Products,2026-07-15
GOOG,GOOG,Alphabet Inc. (Class C),S&P 500,Communication Services,Interactive Media & Services,Interactive Media & Services,2026-07-15
GOOGL,GOOGL,Alphabet Inc. (Class A),S&P 500,Communication Services,Interactive Media & Services,Interactive Media & Services,2026-07-15
GPC,GPC,Genuine Parts Company,S&P 500,Consumer Discretionary,Distributors,Distributors,2026-07-15
GPI,GPI,"Group 1 Automotive, Inc.",S&P SmallCap 600,Consumer Discretionary,Specialty Retail,Automotive Retail,2026-07-15
GPK,GPK,Graphic Packaging,S&P MidCap 400,Materials,Containers & Packaging,Paper & Plastic Packaging Products & Materials,2026-07-15
GPN,GPN,Global Payments,S&P 500,Financials,Financial Services,Transaction & Payment Processing Services,2026-07-15
GPOR,GPOR,Gulfport Energy Corporation,S&P SmallCap 600,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Production,2026-07-15
GRBK,GRBK,"Green Brick Partners, Inc.",S&P SmallCap 600,Consumer Discretionary,Household Durables,Homebuilding,2026-07-15
GRMN,GRMN,Garmin,S&P 500,Consumer Discretionary,Household Durables,Consumer Electronics,2026-07-15
GS,GS,Goldman Sachs,S&P 500,Financials,Capital Markets,Investment Banking & Brokerage,2026-07-15
GSHD,GSHD,"Goosehead Insurance, Inc.",S&P SmallCap 600,Financials,Insurance,Insurance Brokers,2026-07-15
GT,GT,Goodyear Tire and Rubber Company,S&P SmallCap 600,Consumer Discretionary,Automobile Components,Tires & Rubber,2026-07-15
GTES,GTES,Gates Corporation,S&P SmallCap 600,Industrials,Machinery,Industrial Machinery & Supplies & Components,2026-07-15
GTLS,GTLS,Chart Industries,S&P MidCap 400,Industrials,Machinery,Industrial Machinery & Supplies & Components,2026-07-15
GTM,GTM,ZoomInfo,S&P SmallCap 600,Communication Services,Interactive Media & Services,Interactive Media & Services,2026-07-15
GTY,GTY,Getty Realty Corp.,S&P SmallCap 600,Real Estate,Retail REITs,Retail REITs,2026-07-15
GVA,GVA,"Granite Construction, Inc.",S&P SmallCap 600,Industrials,Construction & Engineering,Construction & Engineering,2026-07-15
GWRE,GWRE,Guidewire Software,S&P MidCap 400,Information Technology,Software,Application Software,2026-07-15
GWW,GWW,W. W. Grainger,S&P 500,Industrials,Machinery,Industrial Machinery & Supplies & Components,2026-07-15
GXO,GXO,GXO Logistics,S&P MidCap 400,Industrials,Air Freight & Logistics,Air Freight & Logistics,2026-07-15
H,H,Hyatt,S&P MidCap 400,Consumer Discretionary,"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines",2026-07-15
HAE,HAE,Haemonetics,S&P MidCap 400,Health Care,Health Care Equipment & Supplies,Health Care Supplies,2026-07-15
HAFC,HAFC,Hanmi Financial Corporation,S&P SmallCap 600,Financials,Banks,Regional Banks,2026-07-15
HAL,HAL,Halliburton,S&P 500,Energy,Energy Equipment & Services,Oil & Gas Equipment & Services,2026-07-15
HALO,HALO,Halozyme,S&P MidCap 400,Health Care,Biotechnology,Biotechnology,2026-07-15
HAS,HAS,Hasbro,S&P 500,Consumer Discretionary,Leisure Products,Leisure Products,2026-07-15
HASI,HASI,"Hannon Armstrong Sustainable Infrastructure Capital, Inc.",S&P SmallCap 600,Financials,Financial Services,Specialized Finance,2026-07-15
HAYW,HAYW,"Hayward Holdings, Inc.",S&P SmallCap 600,Industrials,Electrical Equipment,Electrical Components & Equipment,2026-07-15
HBAN,HBAN,Huntington Bancshares,S&P 500,Financials,Banks,Regional Banks,2026-07-15
HCA,HCA,HCA Healthcare,S&P 500,Health Care,Health Care Providers & Services,Health Care Facilities,2026-07-15
HCC,HCC,"Warrior Met Coal, Inc.",S&P SmallCap 600,Materials,Metals & Mining,Steel,2026-07-15
HCI,HCI,"HCI Group, Inc.",S&P SmallCap 600,Financials,Insurance,Property & Casualty Insurance,2026-07-15
HCSG,HCSG,"Healthcare Services Group, Inc.",S&P SmallCap 600,Industrials,Commercial Services & Supplies,Environmental & Facilities Services,2026-07-15
HD,HD,Home Depot (The),S&P 500,Consumer Discretionary,Specialty Retail,Home Improvement Retail,2026-07-15
HE,HE,"Hawaiian Electric Industries, Inc.",S&P SmallCap 600,Utilities,Electric Utilities,Electric Utilities,2026-07-15
HFWA,HFWA,Heritage Financial Corporation,S&P SmallCap 600,Financials,Banks,Regional Banks,2026-07-15
HGV,HGV,Hilton Grand Vacations,S&P MidCap 400,Consumer Discretionary,"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines",2026-07-15
HIG,HIG,Hartford (The),S&P 500,Financials,Insurance,Property & Casualty Insurance,2026-07-15
HII,HII,Huntington Ingalls Industries,S&P 500,Industrials,Aerospace & Defense,Aerospace & Defense,2026-07-15
HIMS,HIMS,Hims & Hers Health,S&P MidCap 400,Health Care,Health Care Providers & Services,Health Care Services,2026-07-15
HIW,HIW,Highwoods Properties,S&P SmallCap 600,Real Estate,Office REITs,Office REITs,2026-07-15
HL,HL,Hecla Mining,S&P MidCap 400,Materials,Metals & Mining,Silver,2026-07-15
HLI,HLI,Houlihan Lokey,S&P MidCap 400,Financials,Capital Markets,Investment Banking & Brokerage,2026-07-15
HLIT,HLIT,Harmonic Inc.,S&P SmallCap 600,Information Technology,Communications Equipment,Communications Equipment,2026-07-15
HLNE,HLNE,Hamilton Lane,S&P MidCap 400,Financials,Capital Markets,Asset Management & Custody Banks,2026-07-15
HLT,HLT,Hilton Worldwide,S&P 500,Consumer Discretionary,"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines",2026-07-15
HLX,HLX,"Helix Energy Solutions Group, Inc.",S&P SmallCap 600,Energy,Energy Equipment & Services,Oil & Gas Equipment & Services,2026-07-15
HMN,HMN,Horace Mann Educators Corporation,S&P SmallCap 600,Financials,Insurance,Multi-line Insurance,2026-07-15
HNI,HNI,HNI Corporation,S&P SmallCap 600,Industrials,Commercial Services & Supplies,Office Services & Supplies,2026-07-15
HOG,HOG,Harley-Davidson,S&P MidCap 400,Consumer Discretionary,Automobiles,Motorcycle Manufacturers,2026-07-15
HOMB,HOMB,Home BancShares,S&P MidCap 400,Financials,Banks,Regional Banks,2026-07-15
HON,HON,Honeywell Technologies,S&P 500,Industrials,Industrial Conglomerates,Industrial Conglomerates,2026-07-15
HONA,HONA,Honeywell Aerospace,S&P 500,Industrials,Aerospace & Defense,Aerospace & Defense,2026-07-15
HOOD,HOOD,Robinhood Markets,S&P 500,Financials,Capital Markets,Investment Banking & Brokerage,2026-07-15
HOPE,HOPE,"Hope Bancorp, Inc.",S&P SmallCap 600,Financials,Banks,Regional Banks,2026-07-15
HP,HP,"Helmerich & Payne, Inc.",S&P SmallCap 600,Energy,Energy Equipment & Services,Oil & Gas Drilling,2026-07-15
HPE,HPE,Hewlett Packard Enterprise,S&P 500,Information Technology,"Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals",2026-07-15
HPQ,HPQ,HP Inc.,S&P 500,Information Technology,"Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals",2026-07-15
HQY,HQY,HealthEquity,S&P MidCap 400,Health Care,Health Care Providers & Services,Managed Health Care,2026-07-15
HR,HR,Healthcare Realty Trust,S&P MidCap 400,Real Estate,Health Care REITs,Health Care REITs,2026-07-15
HRB,HRB,H&R Block,S&P MidCap 400,Consumer Discretionary,Diversified Consumer Services,Specialized Consumer Services,2026-07-15
HRL,HRL,Hormel Foods,S&P 500,Consumer Staples,Food Products,Packaged Foods & Meats,2026-07-15
HRMY,HRMY,"Harmony Biosciences Holdings, Inc.",S&P SmallCap 600,Health Care,Biotechnology,Biotechnology,2026-07-15
HSIC,HSIC,Henry Schein,S&P 500,Health Care,Health Care Providers & Services,Health Care Distributors,2026-07-15
HST,HST,Host Hotels & Resorts,S&P 500,Real Estate,Hotel & Resort REITs,Hotel & Resort REITs,2026-07-15
HSTM,HSTM,"HealthStream, Inc.",S&P SmallCap 600,Health Care,Health Care Technology,Health Care Technology,2026-07-15
HSY,HSY,Hershey Company (The),S&P 500,Consumer Staples,Food Products,Packaged Foods & Meats,2026-07-15
HTH,HTH,Hilltop Holdings Inc.,S&P SmallCap 600,Financials,Banks,Regional Banks,2026-07-15
HTLD,HTLD,"Heartland Express, Inc.",S&P SmallCap 600,Industrials,Ground Transportation,Cargo Ground Transportation,2026-07-15
HTO,HTO,H2O America,S&P SmallCap 600,Utilities,Water Utilities,Water Utilities,2026-07-15
HTZ,HTZ,Hertz,S&P SmallCap 600,Industrials,Ground Transportation,Passenger Ground Transportation,2026-07-15
HUBB,HUBB,Hubbell Incorporated,S&P 500,Industrials,Machinery,Industrial Machinery & Supplies & Components,2026-07-15
HUBG,HUBG,"Hub Group, Inc.",S&P SmallCap 600,Industrials,Air Freight & Logistics,Air Freight & Logistics,2026-07-15
HUM,HUM,Humana,S&P 500,Health Care,Health Care Providers & Services,Managed Health Care,2026-07-15
HWC,HWC,Hancock Whitney,S&P MidCap 400,Financials,Banks,Regional Banks,2026-07-15
HWKN,HWKN,"Hawkins, Inc.",S&P SmallCap 600,Materials,Chemicals,Commodity Chemicals,2026-07-15
HWM,HWM,Howmet Aerospace,S&P 500,Industrials,Aerospace & Defense,Aerospace & Defense,2026-07-15
HXL,HXL,Hexcel,S&P MidCap 400,Industrials,Aerospace & Defense,Aerospace & Defense,2026-07-15
HZO,HZO,"MarineMax, Inc.",S&P SmallCap 600,Consumer Discretionary,Specialty Retail,Other Specialty Retail,2026-07-15
IART,IART,Integra Lifesciences Holdings,S&P SmallCap 600,Health Care,Health Care Equipment & Supplies,Health Care Equipment,2026-07-15
IBKR,IBKR,Interactive Brokers,S&P 500,Financials,Capital Markets,Investment Banking & Brokerage,2026-07-15
IBM,IBM,IBM,S&P 500,Information Technology,IT Services,IT Consulting & Other Services,2026-07-15
IBOC,IBOC,Intl Bancshares Corp,S&P MidCap 400,Financials,Banks,Regional Banks,2026-07-15
IBP,IBP,"Installed Building Products, Inc.",S&P SmallCap 600,Consumer Discretionary,Household Durables,Homebuilding,2026-07-15
ICE,ICE,Intercontinental Exchange,S&P 500,Financials,Capital Markets,Financial Exchanges & Data,2026-07-15
ICHR,ICHR,"Ichor Holdings, Ltd.",S&P SmallCap 600,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductor Materials & Equipment,2026-07-15
ICUI,ICUI,ICU Medical,S&P SmallCap 600,Health Care,Health Care Equipment & Supplies,Health Care Supplies,2026-07-15
IDA,IDA,Idacorp,S&P MidCap 400,Utilities,Electric Utilities,Electric Utilities,2026-07-15
IDCC,IDCC,InterDigital,S&P MidCap 400,Information Technology,Communications Equipment,Communications Equipment,2026-07-15
IDXX,IDXX,Idexx Laboratories,S&P 500,Health Care,Health Care Equipment & Supplies,Health Care Equipment,2026-07-15
IEX,IEX,IDEX Corporation,S&P 500,Industrials,Machinery,Industrial Machinery & Supplies & Components,2026-07-15
IFF,IFF,International Flavors & Fragrances,S&P 500,Materials,Chemicals,Specialty Chemicals,2026-07-15
IIPR,IIPR,"Innovative Industrial Properties, Inc.",S&P SmallCap 600,Real Estate,Industrial REITs,Industrial REITs,2026-07-15
ILMN,ILMN,"Illumina, Inc.",S&P MidCap 400,Health Care,Life Sciences Tools & Services,Life Sciences Tools & Services,2026-07-15
INCY,INCY,Incyte,S&P 500,Health Care,Biotechnology,Biotechnology,2026-07-15
INDB,INDB,Independent Bank Corp.,S&P SmallCap 600,Financials,Banks,Regional Banks,2026-07-15
INDV,INDV,Indivior,S&P SmallCap 600,Health Care,Pharmaceuticals,Pharmaceuticals,2026-07-15
INGR,INGR,Ingredion,S&P MidCap 400,Consumer Staples,Food Products,Agricultural Products & Services,2026-07-15
INSP,INSP,"Inspire Medical Systems, Inc.",S&P SmallCap 600,Health Care,Health Care Equipment & Supplies,Health Care Equipment,2026-07-15
INSW,INSW,"International Seaways, Inc.",S&P SmallCap 600,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Storage & Transportation,2026-07-15
INTC,INTC,Intel,S&P 500,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors,2026-07-15
INTU,INTU,Intuit,S&P 500,Information Technology,Software,Application Software,2026-07-15
INVA,INVA,"Innoviva, Inc.",S&P SmallCap 600,Health Care,Pharmaceuticals,Pharmaceuticals,2026-07-15
INVH,INVH,Invitation Homes,S&P 500,Real Estate,Residential REITs,Single-Family Residential REITs,2026-07-15
INVX,INVX,"Innovex International, Inc.",S&P SmallCap 600,Energy,Energy Equipment & Services,Oil & Gas Equipment & Services,2026-07-15
IOSP,IOSP,"Innospec, Inc.",S&P SmallCap 600,Materials,Chemicals,Specialty Chemicals,2026-07-15
IP,IP,International Paper,S&P 500,Materials,Containers & Packaging,Paper & Plastic Packaging Products & Materials,2026-07-15
IPAR,IPAR,"Inter Parfums, Inc.",S&P SmallCap 600,Consumer Staples,Household Products,Household Products,2026-07-15
IPGP,IPGP,IPG Photonics,S&P MidCap 400,Information Technology,"Electronic Equipment, Instruments & Components",Electronic Manufacturing Services,2026-07-15
IQV,IQV,IQVIA,S&P 500,Health Care,Life Sciences Tools & Services,Life Sciences Tools & Services,2026-07-15
IR,IR,Ingersoll Rand,S&P 500,Industrials,Machinery,Industrial Machinery & Supplies & Components,2026-07-15
IRDM,IRDM,Iridium Communications,S&P SmallCap 600,Communication Services,Diversified Telecommunication Services,Alternative Carriers,2026-07-15
IRM,IRM,Iron Mountain,S&P 500,Real Estate,Specialized REITs,Other Specialized REITs,2026-07-15
IRT,IRT,IRT Living,S&P MidCap 400,Real Estate,Residential REITs,Multi-Family Residential REITs,2026-07-15
ISRG,ISRG,Intuitive Surgical,S&P 500,Health Care,Health Care Equipment & Supplies,Health Care Equipment,2026-07-15
IT,IT,Gartner,S&P 500,Information Technology,IT Services,IT Consulting & Other Services,2026-07-15
ITGR,ITGR,Integer Holdings Corporation,S&P SmallCap 600,Health Care,Health Care Equipment & Supplies,Health Care Equipment,2026-07-15
ITRI,ITRI,"Itron, Inc.",S&P SmallCap 600,Information Technology,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments,2026-07-15
ITT,ITT,ITT Inc.,S&P MidCap 400,Industrials,Machinery,Industrial Machinery & Supplies & Components,2026-07-15
ITW,ITW,Illinois Tool Works,S&P 500,Industrials,Machinery,Industrial Machinery & Supplies & Components,2026-07-15
IVT,IVT,InvenTrust Properties,S&P SmallCap 600,Real Estate,Retail REITs,Retail REITs,2026-07-15
IVZ,IVZ,Invesco,S&P 500,Financials,Capital Markets,Asset Management & Custody Banks,2026-07-15
J,J,Jacobs Solutions,S&P 500,Industrials,Construction & Engineering,Construction & Engineering,2026-07-15
JAZZ,JAZZ,Jazz Pharmaceuticals,S&P MidCap 400,Health Care,Pharmaceuticals,Pharmaceuticals,2026-07-15
JBGS,JBGS,JBG Smith,S&P SmallCap 600,Real Estate,Office REITs,Office REITs,2026-07-15
JBHT,JBHT,J.B. Hunt,S&P 500,Industrials,Ground Transportation,Cargo Ground Transportation,2026-07-15
JBL,JBL,Jabil,S&P 500,Information Technology,"Electronic Equipment, Instruments & Components",Electronic Manufacturing Services,2026-07-15
JBLU,JBLU,JetBlue,S&P SmallCap 600,Industrials,Passenger Airlines,Passenger Airlines,2026-07-15
JBSS,JBSS,"John B. Sanfilippo & Son, Inc.",S&P SmallCap 600,Consumer Staples,Food Products,Packaged Foods & Meats,2026-07-15
JBTM,JBTM,JBT Marel Corporation,S&P SmallCap 600,Industrials,Machinery,Industrial Machinery & Supplies & Components,2026-07-15
JCI,JCI,Johnson Controls,S&P 500,Industrials,Building Products,Building Products,2026-07-15
JEF,JEF,Jefferies,S&P MidCap 400,Financials,Financial Services,Multi-Sector Holdings,2026-07-15
JHG,JHG,Janus Henderson,S&P MidCap 400,Financials,Capital Markets,Asset Management & Custody Banks,2026-07-15
JJSF,JJSF,J&J Snack Foods Corp.,S&P SmallCap 600,Consumer Staples,Food Products,Packaged Foods & Meats,2026-07-15
JKHY,JKHY,Jack Henry & Associates,S&P 500,Financials,Financial Services,Transaction & Payment Processing Services,2026-07-15
JLL,JLL,Jones Lang LaSalle,S&P MidCap 400,Real Estate,Real Estate Management & Development,Real Estate Services,2026-07-15
JNJ,JNJ,Johnson & Johnson,S&P 500,Health Care,Pharmaceuticals,Pharmaceuticals,2026-07-15
JOE,JOE,St. Joe Company,S&P SmallCap 600,Real Estate,Real Estate Management & Development,Real Estate Development,2026-07-15
JPM,JPM,JPMorgan Chase,S&P 500,Financials,Banks,Diversified Banks,2026-07-15
JXN,JXN,"Jackson Financial, Inc.",S&P SmallCap 600,Financials,Insurance,Life & Health Insurance,2026-07-15
KAI,KAI,Kadant Inc.,S&P SmallCap 600,Industrials,Machinery,Industrial Machinery & Supplies & Components,2026-07-15
KALU,KALU,Kaiser Aluminum Corporation,S&P SmallCap 600,Materials,Metals & Mining,Aluminum,2026-07-15
KBH,KBH,KB Home,S&P MidCap 400,Consumer Discretionary,Household Durables,Homebuilding,2026-07-15
KBR,KBR,"KBR, Inc.",S&P MidCap 400,Industrials,Commercial Services & Supplies,Diversified Support Services,2026-07-15
KD,KD,Kyndryl,S&P MidCap 400,Information Technology,IT Services,IT Consulting & Other Services,2026-07-15
KDP,KDP,Keurig Dr Pepper,S&P 500,Consumer Staples,Beverages,Soft Drinks & Non-alcoholic Beverages,2026-07-15
KEX,KEX,Kirby Corporation,S&P MidCap 400,Industrials,Marine Transportation,Marine Transportation,2026-07-15
KEY,KEY,KeyCorp,S&P 500,Financials,Banks,Regional Banks,2026-07-15
KEYS,KEYS,Keysight Technologies,S&P 500,Information Technology,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments,2026-07-15
KFY,KFY,Korn/Ferry International,S&P SmallCap 600,Industrials,Professional Services,Human Resource & Employment Services,2026-07-15
KGS,KGS,"Kodiak Gas Services, Inc.",S&P SmallCap 600,Energy,Energy Equipment & Services,Oil & Gas Equipment & Services,2026-07-15
KHC,KHC,Kraft Heinz,S&P 500,Consumer Staples,Food Products,Packaged Foods & Meats,2026-07-15
KIM,KIM,Kimco Realty,S&P 500,Real Estate,Retail REITs,Retail REITs,2026-07-15
KKR,KKR,KKR & Co.,S&P 500,Financials,Capital Markets,Asset Management & Custody Banks,2026-07-15
KLAC,KLAC,KLA Corporation,S&P 500,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductor Materials & Equipment,2026-07-15
KLIC,KLIC,"Kulicke and Soffa Industries, Inc.",S&P SmallCap 600,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductor Materials & Equipment,2026-07-15
KMB,KMB,Kimberly-Clark,S&P 500,Consumer Staples,Household Products,Household Products,2026-07-15
KMI,KMI,Kinder Morgan,S&P 500,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Storage & Transportation,2026-07-15
KMPR,KMPR,Kemper Corporation,S&P SmallCap 600,Financials,Insurance,Multi-line Insurance,2026-07-15
KMT,KMT,Kennametal,S&P SmallCap 600,Industrials,Machinery,Industrial Machinery & Supplies & Components,2026-07-15
KMX,KMX,"CarMax, Inc.",S&P SmallCap 600,Consumer Discretionary,Specialty Retail,Automotive Retail,2026-07-15
KN,KN,Knowles Corporation,S&P SmallCap 600,Information Technology,"Electronic Equipment, Instruments & Components",Electronic Components,2026-07-15
KNF,KNF,Knife River Corporation,S&P MidCap 400,Materials,Construction Materials,Construction Materials,2026-07-15
KNSL,KNSL,Kinsale Capital Group,S&P MidCap 400,Financials,Insurance,Property & Casualty Insurance,2026-07-15
KNTK,KNTK,"Kinetik Holdings, Inc.",S&P SmallCap 600,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Storage & Transportation,2026-07-15
KNX,KNX,Knight-Swift,S&P MidCap 400,Industrials,Ground Transportation,Cargo Ground Transportation,2026-07-15
KO,KO,Coca-Cola Company (The),S&P 500,Consumer Staples,Beverages,Soft Drinks & Non-alcoholic Beverages,2026-07-15
KOP,KOP,"Koppers Holdings, Inc.",S&P SmallCap 600,Materials,Chemicals,Commodity Chemicals,2026-07-15
KR,KR,Kroger,S&P 500,Consumer Staples,Consumer Staples Distribution & Retail,Food Retail,2026-07-15
KRC,KRC,Kilroy Realty Corp,S&P MidCap 400,Real Estate,Office REITs,Office REITs,2026-07-15
KRG,KRG,Kite Realty Group Trust,S&P MidCap 400,Real Estate,Retail REITs,Retail REITs,2026-07-15
KRYS,KRYS,"Krystal Biotech, Inc.",S&P SmallCap 600,Health Care,Biotechnology,Biotechnology,2026-07-15
KSS,KSS,Kohl's Corp.,S&P SmallCap 600,Consumer Discretionary,Broadline Retail,Broadline Retail,2026-07-15
KTB,KTB,Kontoor Brands,S&P SmallCap 600,Consumer Discretionary,"Textiles, Apparel & Luxury Goods","Apparel, Accessories & Luxury Goods",2026-07-15
KTOS,KTOS,Kratos Defense & Security Solutions,S&P MidCap 400,Industrials,Aerospace & Defense,Aerospace & Defense,2026-07-15
KVUE,KVUE,Kenvue,S&P 500,Consumer Staples,Personal Care Products,Personal Care Products,2026-07-15
KWR,KWR,Quaker Chemical Corporation,S&P SmallCap 600,Materials,Chemicals,Specialty Chemicals,2026-07-15
L,L,Loews Corporation,S&P 500,Financials,Insurance,Multi-line Insurance,2026-07-15
LAD,LAD,Lithia Motors,S&P MidCap 400,Consumer Discretionary,Specialty Retail,Automotive Retail,2026-07-15
LAMR,LAMR,Lamar Advertising Company,S&P MidCap 400,Real Estate,Specialized REITs,Other Specialized REITs,2026-07-15
LAUR,LAUR,"Laureate Education, Inc.",S&P SmallCap 600,Consumer Discretionary,Diversified Consumer Services,Education Services,2026-07-15
LAZ,LAZ,Lazard,S&P SmallCap 600,Financials,Capital Markets,Diversified Capital Markets,2026-07-15
LBRT,LBRT,"Liberty Energy, Inc.",S&P SmallCap 600,Energy,Energy Equipment & Services,Oil & Gas Equipment & Services,2026-07-15
LCII,LCII,LCI Industries,S&P SmallCap 600,Consumer Discretionary,Automobile Components,Automotive Parts & Equipment,2026-07-15
LDOS,LDOS,Leidos,S&P 500,Industrials,Commercial Services & Supplies,Diversified Support Services,2026-07-15
LEA,LEA,Lear,S&P MidCap 400,Consumer Discretionary,Automobile Components,Automotive Parts & Equipment,2026-07-15
LECO,LECO,Lincoln Electric,S&P MidCap 400,Industrials,Machinery,Industrial Machinery & Supplies & Components,2026-07-15
LEG,LEG,Leggett & Platt,S&P SmallCap 600,Consumer Discretionary,Household Durables,Home Furnishings,2026-07-15
LEN,LEN,Lennar,S&P 500,Consumer Discretionary,Household Durables,Homebuilding,2026-07-15
LFST,LFST,Lifestance Health,S&P SmallCap 600,Health Care,Health Care Providers & Services,Health Care Services,2026-07-15
LFUS,LFUS,Littelfuse,S&P MidCap 400,Information Technology,"Electronic Equipment, Instruments & Components",Electronic Components,2026-07-15
LGIH,LGIH,LGI Homes,S&P SmallCap 600,Consumer Discretionary,Household Durables,Homebuilding,2026-07-15
LGND,LGND,"Ligand Pharmaceuticals, Inc.",S&P SmallCap 600,Health Care,Biotechnology,Biotechnology,2026-07-15
LH,LH,Labcorp,S&P 500,Health Care,Health Care Providers & Services,Health Care Services,2026-07-15
LHX,LHX,L3Harris,S&P 500,Industrials,Aerospace & Defense,Aerospace & Defense,2026-07-15
LIF,LIF,Life360,S&P SmallCap 600,Information Technology,Software,Application Software,2026-07-15
LII,LII,Lennox International,S&P 500,Industrials,Building Products,Building Products,2026-07-15
LIN,LIN,Linde plc,S&P 500,Materials,Chemicals,Industrial Gases,2026-07-15
LITE,LITE,Lumentum,S&P 500,Information Technology,Communications Equipment,Communications Equipment,2026-07-15
LIVN,LIVN,LivaNova,S&P MidCap 400,Health Care,Health Care Equipment & Supplies,Health Care Equipment,2026-07-15
LKFN,LKFN,Lakeland Financial,S&P SmallCap 600,Financials,Banks,Regional Banks,2026-07-15
LKQ,LKQ,LKQ Corporation,S&P SmallCap 600,Consumer Discretionary,Distributors,Distributors,2026-07-15
LLY,LLY,Lilly (Eli),S&P 500,Health Care,Pharmaceuticals,Pharmaceuticals,2026-07-15
LMAT,LMAT,LeMaitre Vascular,S&P SmallCap 600,Health Care,Health Care Equipment & Supplies,Health Care Equipment,2026-07-15
LMT,LMT,Lockheed Martin,S&P 500,Industrials,Aerospace & Defense,Aerospace & Defense,2026-07-15
LNC,LNC,Lincoln Financial,S&P SmallCap 600,Financials,Insurance,Multi-line Insurance,2026-07-15
LNN,LNN,Lindsay Corporation,S&P SmallCap 600,Industrials,Machinery,Agricultural & Farm Machinery,2026-07-15
LNT,LNT,Alliant Energy,S&P 500,Utilities,Electric Utilities,Electric Utilities,2026-07-15
LNTH,LNTH,Lantheus Holdings,S&P MidCap 400,Health Care,Health Care Equipment & Supplies,Health Care Supplies,2026-07-15
LOPE,LOPE,Grand Canyon Education,S&P MidCap 400,Consumer Discretionary,Diversified Consumer Services,Education Services,2026-07-15
LOW,LOW,Lowe's,S&P 500,Consumer Discretionary,Specialty Retail,Home Improvement Retail,2026-07-15
LPG,LPG,Dorian LPG Ltd.,S&P SmallCap 600,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Storage & Transportation,2026-07-15
LPX,LPX,Louisiana-Pacific,S&P MidCap 400,Industrials,Building Products,Building Products,2026-07-15
LQDA,LQDA,Liquidia Corporation,S&P SmallCap 600,Health Care,Pharmaceuticals,Pharmaceuticals,2026-07-15
LQDT,LQDT,"Liquidity Services, Inc.",S&P SmallCap 600,Industrials,Commercial Services & Supplies,Diversified Support Services,2026-07-15
LRCX,LRCX,Lam Research,S&P 500,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductor Materials & Equipment,2026-07-15
LRN,LRN,"Stride, Inc.",S&P SmallCap 600,Consumer Discretionary,Diversified Consumer Services,Education Services,2026-07-15
