alpha,sharpe,turnover,cents_per_share,daily_volatility,daily_return,annual_return,log_turnover,centered_log_turnover
alpha037,1.1938335202647767,1.1072673045479093,0.8868726409746288,0.002942750931336688,0.00022130794435894495,0.05576960197845413,0.10189509210086303,0.34538249421695877
alpha038,0.9350050596386112,1.3097919340951132,0.660533751571709,0.004102125121600285,0.00024161427719521117,0.06088679785319322,0.26986829566338105,0.5133556977794769
alpha039,0.4830841406207436,0.5557409050125118,1.063327569025026,0.003755004825000928,0.0001142702056769408,0.028796091830589083,-0.5874530915213846,-0.3439656894052888
alpha040,-0.09812041259870817,0.472896728491978,-0.22097318126075455,0.002602886338297488,-0.000016088453488505475,-0.00405429027910338,-0.7488782473262553,-0.5053908452101595
alpha041,0.5582872936933768,1.4165942469026636,0.4709242453613324,0.0030700865418714293,0.00010797124051291297,0.02720875260925407,0.3482555731281386,0.5917429752442344
alpha042,1.4507555468633988,0.856487857886443,2.194862464138703,0.0036792207136659345,0.000336240335978379,0.0847325646665515,-0.15491513774992247,0.0885722643661733
alpha043,1.5117047242258785,1.0934632987873074,0.8799236076437301,0.0026592396718475206,0.0002532352630151535,0.06381528627981868,0.08934999750541343,0.3328373996215092
alpha044,0.3275601348042735,0.9055046689840981,0.14367529168002302,0.0016635816647786108,0.00003432692458621736,0.008650384995726774,-0.0992628454222682,0.14422455669382755
alpha045,-0.5086503979303237,1.2504981452048591,-0.33406742406744844,0.0014135462386409175,-0.00004529279665418902,-0.011413784756855633,0.22354198809162112,0.4670293902077169
alpha046,-0.16296222275141783,0.788094114959745,-0.6808625315021928,0.01027294521699297,-0.00010545851253187133,-0.026575545158031576,-0.23813776102797413,0.005349641088121637
alpha047,0.9647633733381911,0.788597640831034,1.2874933473090415,0.003919864317824792,0.00023822732358840922,0.06003328554427913,-0.2374990491344698,0.005988352981625977
alpha048,0.4302293358709327,1.3294436421308788,0.07392606205077101,0.0008557985518681046,0.000023193767372727193,0.005844829377927253,0.28476054052856614,0.5282479426446619
alpha049,0.9828452096397421,1.1099671297875313,0.9401521946533575,0.003481625013530874,0.00021555934175170247,0.054320954121429024,0.1043304020817492,0.34781780419784497
alpha050,-0.0066398494399265914,0.4133997635285309,-0.005292052907004203,0.0013903274578135807,-5.815339328802028e-7,-0.0001465465510858111,-0.883340203750765,-0.6398528016346693
alpha051,0.5402748139944673,1.1326486325533276,0.6968300537966456,0.004635394648919435,0.00015776155096049622,0.03975591084204505,0.12455881263615513,0.3680462147522509
alpha052,0.6271223389770301,0.5641499906231862,1.3371218918394603,0.0035650114418901866,0.00014083575583794216,0.03549061047116143,-0.5724351220188181,-0.3289477199027223
alpha053,0.8570137694157081,1.607365958040745,0.3339801067998403,0.002643724028226853,0.00014272618173713294,0.0359669977977575,0.47459678829720564,0.7180841904133014
alpha054,1.0815354400574921,1.5892029408896806,0.47937178164637195,0.0029137749475981302,0.00019851644515239838,0.0500261441784044,0.46323259550383883,0.7067199976199345
alpha055,0.29116966562590374,0.766146855353836,0.12008517738301551,0.0013267520901503655,0.000024335240229747095,0.006132480537896268,-0.2663814104448246,-0.022894008328728843
alpha056,0.5171564873756822,1.4015393163081011,0.2694369954288497,0.002694436872433064,0.00008777881620843592,0.022120261684525855,0.3375711442496348,0.5810585463657305
alpha057,0.8741367489791299,1.3917788292360362,0.6742251563061415,0.0031540036319845427,0.00017367659547853025,0.04376650206058962,0.33058266224526706,0.5740700643613628
