alpha,days,annual_return,annual_volatility,sharpe,max_drawdown,mean_ic,ic_ir,mean_rank_ic,rank_ic_ir,mean_turnover,mean_coverage,mean_return_coverage,paper_turnover,cents_per_share
alpha020,883,0.04214956868836788,0.06084389363370513,0.6927493651559913,-0.05667969745769319,0.006220451946316473,0.9633507557006021,0.008708167245907027,1.1029963384099561,0.7540526250012446,0.9999702156746539,0.999997737004995,1.5132575400913653,0.5026362703608045
alpha021,883,0.0676632516951265,0.030750624142426766,2.200386287502088,-0.018598478609135438,0.010884335551379258,2.334379774070548,0.012697682293834854,2.3798307649416968,0.381753036222961,0.9995480234439394,0.999997737004995,0.774176141130913,1.3008050634004038
alpha022,883,0.01898587376774672,0.02877930104002429,0.6597058678159856,-0.02418757770395541,0.0011924447805809525,0.346338411545305,0.0034126940927222175,0.8730832175664154,0.4120185334836719,0.9994250307930429,0.999997737004995,0.8334012389232299,0.6084928692282067
alpha023,883,0.02184286216863655,0.044296470372702165,0.4931061546180727,-0.04201064730330706,0.003237703612431973,0.7801336082518499,0.005127020768727032,0.789883908789303,0.4713429065725696,0.9994250307930429,0.999997737004995,0.9501115602430812,0.43548241853373265
alpha024,883,0.06231449187280922,0.05148750126613755,1.210283861916453,-0.04134147413806566,0.005555400768734086,1.4825474300727508,0.012339829323967452,1.7483757596206724,0.22217516936682133,0.993745213654847,0.999997729443188,0.45746737702240914,2.5144629276258854
alpha025,883,0.025495358358422728,0.056371606408352135,0.45227304990629613,-0.06936755260221183,0.00203213262650939,0.3072294880393475,0.006756879794178135,0.8753431128945097,0.6813867891317213,0.9994250307930429,0.999997737004995,1.3694381895052623,0.40709849758124367
alpha026,883,-0.008720520896177173,0.032490884526793815,-0.2683989993866046,-0.05426052993129016,0.00060105274376428,0.16917470394728396,0.002931613304132723,0.7176951934668162,0.2706867756138446,0.999702217217377,0.999997737004995,0.5536590898794154,-0.23642056080841173
alpha027,883,0.012424647567573423,0.0181191219261955,0.6857201810431355,-0.02907139133446235,0.000958280268157454,0.3971653171903579,0.0026575102416507663,1.0692833597637548,0.1856251391775268,0.9998213131700205,0.999997737004995,0.3840664357673355,0.48938571703262423
alpha028,883,0.027858248577276635,0.04357021657933731,0.6393874248145947,-0.03634301510173321,0.0014308967500596397,0.3476366836924206,0.0036994571271968986,0.661396054723002,0.6430316456227985,0.9992997982528514,0.999997737004995,1.2923253383242832,0.4214684433212365
alpha029,883,0.029443793297417253,0.05697928315368723,0.5167455901121125,-0.06733379907994752,0.00459769737678855,0.7225562875224978,0.003825336263510152,0.5171478671637904,0.5860694271179474,0.9996724473934607,0.999997737004995,1.1792469347061014,0.38188430988103167
alpha030,883,0.05319702582232428,0.04645656316529747,1.145091720044884,-0.035555112489484175,0.007158631868494812,1.2721286604041397,0.00936866610048769,1.4086635437872563,0.43115613253048113,0.9994250307930429,0.999997737004995,0.8714745435724357,0.9190909135411858
