alpha,sharpe,turnover,cents_per_share,daily_volatility,daily_return,annual_return,log_turnover,centered_log_turnover
alpha065,-0.1906258940724838,0.5597713675293793,-2.2057036733881983,0.008200298795701772,-0.00009847166934239499,-0.024814860674283536,-0.5802268508877219,-0.45587370813608885
alpha066,0.06274205068908441,0.768562399024143,0.5878651404881748,0.008852794201845678,0.000034989586274250426,0.008817375741111109,-0.2632335234322325,-0.13888038068059946
alpha067,1.014244293292333,1.3327540598444751,5.9771676342216375,0.009089843322573333,0.0005807626790347486,0.14635219511675668,0.28724752293216954,0.4116006656838026
alpha068,0.558715749622784,0.9841763200716565,3.8789430869339965,0.008318294578233375,0.00029276889904105205,0.07377776255834512,-0.015950210917276667,0.10840293183435637
alpha069,0.44444093169792553,0.8128598620542159,3.7393367171639174,0.008764397850236088,0.0002453781357580215,0.06183529021102142,-0.20719655568901152,-0.08284341293737849
alpha070,0.6621265347631311,1.2683467628858052,4.640284515227452,0.00901131018336033,0.0003758622084920027,0.09471727653998468,0.23771429093571605,0.36206743368734906
alpha071,0.09207135616764034,0.9928530082744323,0.6928546933845333,0.008575967815572854,0.00004974018683764797,0.012534527083087289,-0.0071726538151932456,0.11718048893643979
alpha072,-0.3220035480800748,0.6060320643815486,-3.4773586968396626,0.007921876650156597,-0.00016068985635796004,-0.040493843802205935,-0.5008223827918805,-0.3764692400402475
alpha073,0.6802819100362304,1.010926117983247,4.559237798925384,0.008676331939045599,0.00037181320600809597,0.09369692791404019,0.010866859210969975,0.135220001962603
alpha074,-0.01857357166406042,0.42052478301463436,-0.29219276590612936,0.008154305668430381,-9.540741796722628e-6,-0.0024042669327741023,-0.8662518642912637,-0.7418987215396307
alpha075,-0.03705765789336806,0.7396099894722924,-0.3296990414971284,0.007711046268128199,-0.000018000766827504446,-0.004536193240531121,-0.30163227297264056,-0.17727913022100752
alpha076,-0.20139116726510467,0.5560434082395003,-2.7832889499610167,0.008827128875978378,-0.00011198493855024546,-0.028220204514661857,-0.5869089154058419,-0.4625557726542089
