alpha_i,alpha_j,observations,correlation,turnover_sum,turnover_product,demeaned_correlation,turnover_model_contribution
alpha020,alpha006,874,0.11677387232843077,0.27792857743652766,-0.1813076060808879,0.001830411464212811,-0.05237485386470312
alpha020,alpha007,859,0.04617439295101643,0.649480582186972,0.03674476781458489,-0.06876906791320153,0.009662576833874857
alpha020,alpha008,868,0.14133972948166176,0.3659699120940445,-0.12963887121323045,0.026396268617443805,-0.03767473617567461
alpha020,alpha009,878,0.30930546171864803,1.114221280025455,0.3094867019553632,0.19436200085443006,0.08725957124204237
alpha020,alpha010,879,0.2664432807343414,1.1086409944623905,0.3062118050405743,0.15149981987012345,0.0863278400860514
alpha020,alpha011,880,-0.07574710584479076,0.9226975180050773,0.19708733273655127,-0.19069056670900872,0.05528116186311702
alpha020,alpha012,882,0.2446552983758639,1.0738105610270412,0.28577090148660933,0.12971183751164594,0.08051225956752282
alpha020,alpha013,879,0.15695222911456283,0.47663495072819456,-0.0646929845731671,0.04200876825034487,-0.019197175626290086
alpha020,alpha014,874,0.13761003713111225,0.711219248848204,0.0729772807724007,0.022666576266894292,0.019970981055758428
alpha020,alpha015,879,0.15028433110950407,0.27165339932328736,-0.18499031392989546,0.03534087024528611,-0.05342261009355956
alpha020,alpha016,879,0.16588909829087892,0.478596920197755,-0.06354156540471062,0.05094563742666096,-0.018869588792026246
alpha020,alpha017,860,0.39739284520498197,1.1918920149831118,0.3550692527778209,0.282449384340764,0.10022812685642973
alpha020,alpha018,874,-0.014663210356236621,1.041852846998546,0.267015908056103,-0.12960667122045458,0.07517633231109648
alpha020,alpha019,633,0.19154902216479058,0.27159283279757696,-0.18502585854960119,0.07660556130057262,-0.053432722787323486
alpha021,alpha001,862,-0.08141380881014279,0.166923654200153,-0.008180165315121321,-0.19635726967436073,-0.0025712610648839294
alpha021,alpha002,875,0.13998422713773592,-0.18527575113725728,0.005769547770111959,0.025040766273517964,0.0019046364098050475
alpha021,alpha003,873,0.04781381718657098,-0.5005863221857885,0.018258188955222077,-0.06712964367764698,0.0059117351365812155
alpha021,alpha004,874,0.13383866142925957,-0.45325620532267524,0.016383564692587466,0.01889520056504161,0.0053102441989648
alpha021,alpha005,873,0.2761174683157304,0.18963488573881238,-0.009079698815108601,0.16117400745151245,-0.0028598849022625802
alpha021,alpha006,873,0.10638519167494973,-0.348547906931262,0.012236338155382236,-0.008558269189268233,0.00397956731181866
alpha021,alpha007,859,0.5345955831122355,0.023004097819182348,-0.002479881645007622,0.41965212224801757,-0.0007422710972636707
alpha021,alpha008,868,0.14998517666673933,-0.2605065722737452,0.008749247207750499,0.03504171580252137,0.00286070117664075
alpha021,alpha009,875,0.06198814256939998,0.48774479565766543,-0.02088706602871537,-0.05295531829481798,-0.006648390427157694
alpha021,alpha010,875,0.015159546303468927,0.4821645100946009,-0.020666045262187255,-0.09978391456074903,-0.006577473822299046
alpha021,alpha011,875,0.2873062193031767,0.29622103363728763,-0.013301302144107859,0.1723627584389587,-0.004214426287017546
alpha021,alpha012,875,0.08885491454722279,0.44733407665925146,-0.019286501328568264,-0.02608854631699517,-0.006134834094085275
alpha021,alpha013,875,0.0597910176068034,-0.14984153363959507,0.0043660895018658805,-0.05515244325741456,0.0014543235409817
alpha021,alpha014,873,0.07100867207025614,0.08474276448041435,-0.004925191526675284,-0.043934788793961815,-0.0015268719171740292
alpha021,alpha015,875,0.061795571002644906,-0.3548230850445023,0.012484881829539144,-0.05314788986157305,0.004059314902088917
alpha021,alpha016,875,0.1082139856042671,-0.14787956417003462,0.0042883809345952,-0.006729475259950865,0.0014293900116765903
alpha021,alpha017,860,-0.005632417764702646,0.5654155306153223,-0.02396340418079295,-0.12057587862892061,-0.0076354626401875965
alpha021,alpha018,873,0.09939384223835893,0.4153763626307562,-0.018020738426071704,-0.015549618625859032,-0.005728702086622227
alpha021,alpha019,633,0.18809685476556198,-0.3548836515702127,0.012487280713930843,0.07315339390134402,0.004060084606850963
alpha021,alpha020,875,0.06523379089276693,0.5472616255472909,-0.02324437466729053,-0.04970966997145103,-0.007404755215307359
alpha022,alpha001,860,-0.1479332533452747,0.2627414656872299,0.011609191120481933,-0.26287671420949266,0.002975192658645846
alpha022,alpha002,864,0.05436939359373818,-0.08945793965018037,-0.008188072020765354,-0.06057406727047978,-0.0022277219078511074
alpha022,alpha003,864,-0.07337403417411756,-0.4047685106987116,-0.025911799692265973,-0.1883174950383355,-0.006885691053219849
alpha022,alpha004,864,0.1856071860232662,-0.35743839383559833,-0.02325135573964948,0.07066372515904824,-0.006186500337025479
alpha022,alpha005,864,0.12544402336648772,0.2854526972258893,0.012885798122705272,0.010500562502269759,0.0033106974766689574
